ano,sigla_uf,id_municipio,id_escola,rede,tipo_localizacao,tipo_situacao_funcionamento,agua_potavel,energia_rede_publica,esgoto_rede_publica,biblioteca,sala_leitura,laboratorio_informatica,internet,internet_alunos,desktop_aluno,computador_portatil_aluno,tablet_aluno,quantidade_sala_utilizada,sala_atendimento_especial
2024,RS,4306601,43053246,3,1,1,1,1,1,1,0,0,1,0,1,1,0,19,0
2024,RS,4318705,43005624,3,1,1,1,1,1,1,0,1,1,0,1,1,0,20,1
2024,RS,4320008,43146449,3,1,1,1,1,1,0,1,1,1,0,1,1,0,10,1
2024,PE,2607208,26131986,3,1,1,1,1,1,1,1,0,1,0,0,0,0,9,1
2024,PR,4115200,41144481,3,1,1,1,1,0,1,0,1,1,1,1,1,1,15,0
2024,RJ,3304557,33076189,3,1,1,1,1,1,0,1,1,1,1,1,0,0,11,1
2024,PA,1502301,15565246,3,1,1,1,1,0,0,0,0,1,0,0,0,0,9,0
2024,PA,1503705,15104320,3,1,1,1,1,0,1,1,0,1,0,0,0,0,10,1
2024,BA,2910727,29319072,3,2,1,1,1,0,0,0,0,1,1,0,0,1,12,1
2024,MG,3160702,31074799,3,1,1,1,1,1,1,0,1,1,0,1,1,0,12,1
2024,MG,3169356,31142000,3,1,1,1,1,1,1,0,0,1,1,1,0,0,12,1
2024,BA,2933307,29281121,3,2,1,1,1,0,0,1,0,1,1,1,1,0,10,0
2024,MA,2103901,21277680,3,1,1,1,1,0,0,1,0,1,0,0,0,0,11,1
2024,MA,2106607,21161313,3,1,1,1,1,0,1,1,0,1,1,1,0,0,10,0
2024,RS,4321600,43177336,3,1,1,1,1,0,0,1,1,1,1,1,1,1,9,1
2024,PE,2604205,26098512,3,1,1,1,1,1,1,0,0,1,1,1,0,0,17,0
2024,PE,2611101,26213605,3,1,1,1,1,0,1,1,0,1,1,1,0,0,10,1
2024,PR,4104303,41378644,3,1,1,1,1,1,1,0,0,1,1,1,1,1,17,1
2024,PA,1503804,15113442,3,1,1,1,1,0,1,1,0,1,1,1,0,0,12,1
2024,MG,3104106,31138061,3,1,1,1,1,1,1,1,1,1,1,1,0,0,12,0
2024,BA,2909901,29024331,3,2,1,1,1,0,1,0,0,1,0,0,0,0,10,1
2024,BA,2932903,29291313,3,1,1,1,1,1,0,0,0,1,0,0,0,0,8,1
2024,SP,3540705,35202381,3,1,1,1,1,1,0,1,1,1,1,0,1,1,23,0
2024,SP,3547809,35070051,3,1,1,1,1,1,0,0,1,1,1,1,0,1,21,0
2024,SP,3550308,35054550,3,1,1,1,1,1,0,1,1,1,0,1,0,0,14,1
