id_municipio,nu_rede,nu_serie,id_indicador_municipio,nome_uf,nome_regiao,ds_rede,qt_alunos_avaliados,qt_alunos_alfabetizados,qt_alunos_alfabetizados_corte,pc_indicador_alfabetizacao,pc_indicador_alfabetizacao_corte,vl_proficiencia_media,vl_proficiencia_mediana,ts_insercao,pc_taxa_alfabetizacao,pc_participacao_meta,pc_meta_2024,pc_meta_2025,pc_meta_2026,pc_meta_2027,pc_meta_2028,pc_meta_2029,pc_meta_2030,pc_meta_ano_corrente,vl_gap_meta_resultado,nu_ano,sigla_uf
2509404,3,2,7061237631232915286,Paraíba,Nordeste,Municipal,141,102,102,72.34,72.34,766.69,766.69,2026-08-20 01:27:09,73.21,94.0,74.26,75.29,76.29,77.26,78.2,79.11,80.0,,,2023,PB
2512309,3,2,-5703841272514616263,Paraíba,Nordeste,Municipal,154,150,150,97.4,97.4,825.98,824.92,2026-08-20 01:27:09,97.47,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,,2023,PB
1703305,3,2,-383297787971023792,Tocantins,Norte,Municipal,59,17,17,28.81,28.81,722.12,717.54,2026-08-20 01:27:09,28.56,95.16,33.34,41.43,50.01,58.58,66.67,73.88,80.0,33.34,-4.78,2024,TO
1707009,3,2,-4137093688419797002,Tocantins,Norte,Municipal,233,142,142,60.94,60.94,751.44,754.65,2026-08-20 01:27:09,61.27,88.93,56.47,61.01,65.37,69.49,73.32,76.83,80.0,56.47,4.8,2024,TO
1708304,3,2,-902706334166329015,Tocantins,Norte,Municipal,41,16,16,39.02,39.02,724.93,725.62,2026-08-20 01:27:09,40.0,91.11,57.94,62.2,66.28,70.13,73.71,77.01,80.0,57.94,-17.94,2024,TO
1713809,3,2,36744958505667211,Tocantins,Norte,Municipal,82,41,41,50.0,50.0,737.81,740.93,2026-08-20 01:27:09,49.53,89.13,25.06,33.59,43.34,53.63,63.62,72.57,80.0,25.06,24.47,2024,TO
1714302,3,2,9007742283012342638,Tocantins,Norte,Municipal,50,17,17,34.0,34.0,724.28,717.32,2026-08-20 01:27:09,34.23,92.59,51.46,56.95,62.27,67.31,71.98,76.22,80.0,51.46,-17.23,2024,TO
1716505,3,2,4458126846489075017,Tocantins,Norte,Municipal,231,131,131,56.71,56.71,749.69,749.26,2026-08-20 01:27:09,56.7,94.29,57.52,61.86,66.02,69.95,73.6,76.95,80.0,57.52,-0.82,2024,TO
1717008,3,2,-7494448928550315430,Tocantins,Norte,Municipal,56,19,19,33.93,33.93,718.72,713.3,2026-08-20 01:27:09,33.88,91.8,52.73,57.98,63.06,67.87,72.32,76.38,80.0,52.73,-18.85,2024,TO
2200053,3,2,-613340725907717687,Piauí,Nordeste,Municipal,60,49,49,81.67,81.67,771.69,770.16,2026-08-20 01:27:09,81.71,95.24,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,,2023,PI
2202026,3,2,5763610556458318005,Piauí,Nordeste,Municipal,84,71,71,84.52,84.52,786.39,786.66,2026-08-20 01:27:09,84.87,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,,2023,PI
2202752,3,2,-1912593047320476835,Piauí,Nordeste,Municipal,66,36,36,54.55,54.55,748.91,746.41,2026-08-20 01:27:09,54.43,98.51,58.67,62.78,66.72,70.44,73.9,77.09,80.0,,,2023,PI
2203503,3,2,-2164345415724093112,Piauí,Nordeste,Municipal,79,40,40,50.63,50.63,737.72,744.05,2026-08-20 01:27:09,50.09,96.34,55.01,59.84,64.48,68.86,72.93,76.65,80.0,,,2023,PI
2203909,3,2,-3301623686203717380,Piauí,Nordeste,Municipal,533,262,262,49.16,49.16,737.76,741.81,2026-08-20 01:27:09,49.16,85.83,54.22,59.2,63.99,68.52,72.72,76.56,80.0,,,2023,PI
2208650,3,2,-4822354782716192947,Piauí,Nordeste,Municipal,114,68,68,59.65,59.65,753.03,754.33,2026-08-20 01:27:09,60.22,95.8,63.49,66.65,69.66,72.51,75.19,77.69,80.0,,,2023,PI
2209872,3,2,-4562937336148843636,Piauí,Nordeste,Municipal,86,23,23,26.74,26.74,718.91,715.89,2026-08-20 01:27:09,26.94,95.56,34.14,42.15,50.6,59.02,66.93,74.0,80.0,,,2023,PI
2209955,3,2,1077603813154277035,Piauí,Nordeste,Municipal,50,27,27,54.0,54.0,747.08,745.29,2026-08-20 01:27:09,53.64,98.04,58.01,62.25,66.32,70.15,73.73,77.01,80.0,,,2023,PI
2904001,3,2,-8749379566265511252,Bahia,Nordeste,Municipal,96,47,47,48.96,48.96,736.19,736.6,2026-08-20 01:27:09,48.96,97.96,50.69,56.32,61.79,66.97,71.78,76.13,80.0,50.69,-1.73,2024,BA
2912301,3,2,6777396551391767340,Bahia,Nordeste,Municipal,84,42,42,50.0,50.0,738.65,741.87,2026-08-20 01:27:09,50.0,93.33,62.43,65.8,69.01,72.05,74.9,77.55,80.0,62.43,-12.43,2024,BA
2913606,3,2,3917955130863648292,Bahia,Nordeste,Municipal,1355,357,357,26.35,26.35,715.61,713.8,2026-08-20 01:27:09,26.35,87.93,39.22,46.65,54.24,61.63,68.53,74.69,80.0,39.22,-12.87,2024,BA
2918100,3,2,6873444482639645756,Bahia,Nordeste,Municipal,193,57,57,29.53,29.53,722.38,723.67,2026-08-20 01:27:09,29.53,89.35,34.24,42.24,50.67,59.07,66.97,74.01,80.0,34.24,-4.71,2024,BA
2923902,2,2,-8212371483542849404,Bahia,Nordeste,Estadual,10,1,1,10.0,10.0,681.05,669.51,2026-08-20 01:27:09,10.0,,,,,,,,,,,2024,BA
2926806,3,2,2444404462064790129,Bahia,Nordeste,Municipal,89,39,39,43.82,43.82,734.37,733.06,2026-08-20 01:27:09,43.82,97.8,65.42,68.18,70.83,73.34,75.71,77.93,80.0,65.42,-21.6,2024,BA
2928059,3,2,23068899507988334,Bahia,Nordeste,Municipal,95,27,27,28.42,28.42,712.25,706.76,2026-08-20 01:27:09,28.42,82.61,40.34,47.63,55.02,62.19,68.86,74.84,80.0,40.34,-11.92,2024,BA
2930204,3,2,-5435139779684381402,Bahia,Nordeste,Municipal,429,104,104,24.24,24.24,713.82,712.09,2026-08-20 01:27:09,24.24,87.73,33.62,41.68,50.21,58.73,66.76,73.92,80.0,33.62,-9.38,2024,BA
2401651,3,2,7996164283913786667,Rio Grande do Norte,Nordeste,Municipal,10,6,6,60.0,60.0,773.52,761.97,2026-08-20 01:27:09,60.0,83.33,67.45,69.81,72.07,74.22,76.26,78.19,80.0,67.45,-7.45,2024,RN
2402006,3,2,-6159022374297188850,Rio Grande do Norte,Nordeste,Municipal,244,107,107,43.85,43.85,737.67,737.55,2026-08-20 01:27:09,44.58,77.71,42.3,49.31,56.34,63.13,69.44,75.09,80.0,42.3,2.28,2024,RN
2403806,2,2,-4498746668616183601,Rio Grande do Norte,Nordeste,Estadual,18,6,6,33.33,33.33,733.84,731.75,2026-08-20 01:27:09,33.33,,,,,,,,,,,2024,RN
2409209,3,2,-5029006419407200765,Rio Grande do Norte,Nordeste,Municipal,24,12,12,50.0,50.0,744.25,742.92,2026-08-20 01:27:09,50.69,75.0,52.73,57.99,63.07,67.87,72.33,76.38,80.0,52.73,-2.04,2024,RN
2409506,3,2,-4521031017041217358,Rio Grande do Norte,Nordeste,Municipal,40,18,18,45.0,45.0,737.82,732.77,2026-08-20 01:27:09,44.5,80.0,51.07,56.63,62.02,67.14,71.88,76.18,80.0,51.07,-6.57,2024,RN
