cd_referencia,nu_ano,nu_rede,ds_rede,pc_taxa_alfabetizacao,pc_taxa_alfabetizacao_ano_anterior,vl_variacao_yoy,fl_evolucao_positiva,id_evolucao,ts_insercao,ds_nivel_geografico
1703073,2024,5,Pública,18.26,11.92,6.34,true,8077891278884629893,2026-08-20 01:27:09,MUNICIPIO
1709807,2023,5,Pública,27.27,,,,8276140789460016546,2026-08-20 01:27:09,MUNICIPIO
1709807,2024,5,Pública,21.43,27.27,-5.84,false,-7670996451340995218,2026-08-20 01:27:09,MUNICIPIO
1711902,2023,5,Pública,26.02,,,,6199724455814804227,2026-08-20 01:27:09,MUNICIPIO
1711902,2024,5,Pública,35.66,26.02,9.64,true,7153777905359990044,2026-08-20 01:27:09,MUNICIPIO
1713700,2023,5,Pública,29.33,,,,7970196809767747477,2026-08-20 01:27:09,MUNICIPIO
1713700,2024,5,Pública,44.77,29.33,15.44,true,-4253047868029522292,2026-08-20 01:27:09,MUNICIPIO
1715002,2023,5,Pública,32.17,,,,3644634655194570335,2026-08-20 01:27:09,MUNICIPIO
1715002,2024,5,Pública,55.38,32.17,23.21,true,-4049939707498593948,2026-08-20 01:27:09,MUNICIPIO
1715259,2023,3,Municipal,22.32,,,,-17986826377600774,2026-08-20 01:27:09,MUNICIPIO
1715259,2024,3,Municipal,61.24,22.32,38.92,true,-7271849405241407724,2026-08-20 01:27:09,MUNICIPIO
1718758,2023,3,Municipal,27.83,,,,-8291204827472825772,2026-08-20 01:27:09,MUNICIPIO
1718758,2024,3,Municipal,26.8,27.83,-1.03,false,-4852369224363823954,2026-08-20 01:27:09,MUNICIPIO
1720200,2023,5,Pública,26.98,,,,-2697201186847135868,2026-08-20 01:27:09,MUNICIPIO
1720200,2024,5,Pública,36.9,26.98,9.92,true,-2012477756614596035,2026-08-20 01:27:09,MUNICIPIO
1720853,2023,3,Municipal,77.59,,,,-3701273010799236569,2026-08-20 01:27:09,MUNICIPIO
1720853,2024,3,Municipal,58.97,77.59,-18.62,false,7250507007455941567,2026-08-20 01:27:09,MUNICIPIO
2100600,2023,3,Municipal,45.63,,,,8767434004540023855,2026-08-20 01:27:09,MUNICIPIO
2100600,2024,3,Municipal,41.33,45.63,-4.3,false,8394639914919858625,2026-08-20 01:27:09,MUNICIPIO
2102408,2023,5,Pública,66.03,,,,-6435908182827088856,2026-08-20 01:27:09,MUNICIPIO
2102408,2024,5,Pública,64.0,66.03,-2.03,false,-2557093440793028572,2026-08-20 01:27:09,MUNICIPIO
2103406,2023,3,Municipal,60.53,,,,4121791574892843691,2026-08-20 01:27:09,MUNICIPIO
2103406,2024,3,Municipal,76.13,60.53,15.6,true,4223120791353395913,2026-08-20 01:27:09,MUNICIPIO
2103901,2023,3,Municipal,69.39,,,,-263445366068243682,2026-08-20 01:27:09,MUNICIPIO
2103901,2024,3,Municipal,81.51,69.39,12.12,true,-283752799710107734,2026-08-20 01:27:09,MUNICIPIO
2104008,2023,5,Pública,59.36,,,,2847531569675934582,2026-08-20 01:27:09,MUNICIPIO
2104008,2024,5,Pública,81.48,59.36,22.12,true,-2150095291094249982,2026-08-20 01:27:09,MUNICIPIO
2104701,2023,5,Pública,72.78,,,,2316006187959252387,2026-08-20 01:27:09,MUNICIPIO
2104701,2024,5,Pública,75.68,72.78,2.9,true,4364688439010348295,2026-08-20 01:27:09,MUNICIPIO
2105153,2023,3,Municipal,58.92,,,,-1955014960636293814,2026-08-20 01:27:09,MUNICIPIO
2105153,2024,3,Municipal,77.64,58.92,18.72,true,-2814076787120259639,2026-08-20 01:27:09,MUNICIPIO
2106805,2023,3,Municipal,91.54,,,,6850186038549879042,2026-08-20 01:27:09,MUNICIPIO
2106805,2024,3,Municipal,69.37,91.54,-22.17,false,1154936406945051091,2026-08-20 01:27:09,MUNICIPIO
2107803,2023,5,Pública,90.73,,,,-6486987003121961029,2026-08-20 01:27:09,MUNICIPIO
2107803,2024,5,Pública,54.65,90.73,-36.08,false,4037475977169913000,2026-08-20 01:27:09,MUNICIPIO
2108504,2023,5,Pública,40.94,,,,4699494528462367863,2026-08-20 01:27:09,MUNICIPIO
2108504,2024,5,Pública,51.09,40.94,10.15,true,7311497916893047825,2026-08-20 01:27:09,MUNICIPIO
2109239,2023,5,Pública,75.46,,,,3040497780680939263,2026-08-20 01:27:09,MUNICIPIO
2109239,2024,5,Pública,74.73,75.46,-0.73,false,2095547642797647045,2026-08-20 01:27:09,MUNICIPIO
2110203,2023,5,Pública,59.53,,,,-3119885632464696014,2026-08-20 01:27:09,MUNICIPIO
2110203,2024,5,Pública,56.53,59.53,-3.0,false,-9163604929071099307,2026-08-20 01:27:09,MUNICIPIO
2110401,2023,3,Municipal,46.81,,,,-754018784474088527,2026-08-20 01:27:09,MUNICIPIO
2110401,2024,3,Municipal,38.29,46.81,-8.52,false,-6054373624818511312,2026-08-20 01:27:09,MUNICIPIO
2111706,2023,5,Pública,61.03,,,,-6500334150074088220,2026-08-20 01:27:09,MUNICIPIO
2111706,2024,5,Pública,76.82,61.03,15.79,true,587769831857993774,2026-08-20 01:27:09,MUNICIPIO
2112852,2023,5,Pública,86.07,,,,-4693643255334214204,2026-08-20 01:27:09,MUNICIPIO
2112852,2024,5,Pública,74.55,86.07,-11.52,false,3187863298606275360,2026-08-20 01:27:09,MUNICIPIO
2202091,2023,3,Municipal,100.0,,,,4028976432120578245,2026-08-20 01:27:09,MUNICIPIO
2202091,2024,3,Municipal,100.0,100.0,0.0,false,-2461467935849249763,2026-08-20 01:27:09,MUNICIPIO
2202901,2023,5,Pública,47.76,,,,-2814138249046161194,2026-08-20 01:27:09,MUNICIPIO
2202901,2024,5,Pública,37.78,47.76,-9.98,false,-1452094447887749859,2026-08-20 01:27:09,MUNICIPIO
2205250,2023,3,Municipal,58.33,,,,5261683628420468385,2026-08-20 01:27:09,MUNICIPIO
2205250,2024,3,Municipal,77.0,58.33,18.67,true,-4037387517522608163,2026-08-20 01:27:09,MUNICIPIO
2205524,2023,5,Pública,43.29,,,,-433647085803118806,2026-08-20 01:27:09,MUNICIPIO
2205524,2024,5,Pública,100.0,43.29,56.71,true,-3434587512089113655,2026-08-20 01:27:09,MUNICIPIO
2205557,2023,3,Municipal,21.65,,,,14279450689139057,2026-08-20 01:27:09,MUNICIPIO
2205557,2024,3,Municipal,58.86,21.65,37.21,true,-985287429464173110,2026-08-20 01:27:09,MUNICIPIO
2205565,2023,3,Municipal,55.67,,,,-8980354016328482208,2026-08-20 01:27:09,MUNICIPIO
2205565,2024,3,Municipal,59.52,55.67,3.85,true,-2135801605258471005,2026-08-20 01:27:09,MUNICIPIO
2205581,2023,3,Municipal,7.17,,,,-722966248407741816,2026-08-20 01:27:09,MUNICIPIO
2205581,2024,3,Municipal,44.87,7.17,37.7,true,-5505091109428710611,2026-08-20 01:27:09,MUNICIPIO
2205706,2023,3,Municipal,62.07,,,,5883733550949641199,2026-08-20 01:27:09,MUNICIPIO
2205706,2024,3,Municipal,51.6,62.07,-10.47,false,3394475333420610474,2026-08-20 01:27:09,MUNICIPIO
2207207,2023,3,Municipal,86.44,,,,-851136677977399194,2026-08-20 01:27:09,MUNICIPIO
2207207,2024,3,Municipal,100.0,86.44,13.56,true,-7638160816084172899,2026-08-20 01:27:09,MUNICIPIO
2207751,2023,5,Pública,100.0,,,,-6227304397498362432,2026-08-20 01:27:09,MUNICIPIO
2207751,2024,5,Pública,64.51,100.0,-35.49,false,8717706081073494785,2026-08-20 01:27:09,MUNICIPIO
2207793,2023,5,Pública,100.0,,,,4929148351986846143,2026-08-20 01:27:09,MUNICIPIO
2207793,2024,5,Pública,51.85,100.0,-48.15,false,-8340840395618699199,2026-08-20 01:27:09,MUNICIPIO
2209351,2023,3,Municipal,33.11,,,,3180734015454926057,2026-08-20 01:27:09,MUNICIPIO
2209351,2024,3,Municipal,68.1,33.11,34.99,true,-4730347939530323845,2026-08-20 01:27:09,MUNICIPIO
2210383,2023,3,Municipal,24.14,,,,2571595873107189050,2026-08-20 01:27:09,MUNICIPIO
2210383,2024,3,Municipal,80.0,24.14,55.86,true,2394234149022053171,2026-08-20 01:27:09,MUNICIPIO
2210631,2023,3,Municipal,93.5,,,,692994745675496960,2026-08-20 01:27:09,MUNICIPIO
2210631,2024,3,Municipal,76.86,93.5,-16.64,false,7213877630871608708,2026-08-20 01:27:09,MUNICIPIO
2211100,2023,3,Municipal,26.82,,,,-3840559417671963036,2026-08-20 01:27:09,MUNICIPIO
2211100,2024,3,Municipal,35.21,26.82,8.39,true,-6338048975414903835,2026-08-20 01:27:09,MUNICIPIO
2300101,2023,5,Pública,88.3,,,,-6182680192865446090,2026-08-20 01:27:09,MUNICIPIO
2300101,2024,5,Pública,91.49,88.3,3.19,true,-4949209768058099982,2026-08-20 01:27:09,MUNICIPIO
2300754,2023,3,Municipal,83.0,,,,9105736359030817643,2026-08-20 01:27:09,MUNICIPIO
2300754,2024,3,Municipal,82.28,83.0,-0.72,false,-7814922740083573054,2026-08-20 01:27:09,MUNICIPIO
2300903,2023,3,Municipal,80.8,,,,-6271893503073178401,2026-08-20 01:27:09,MUNICIPIO
2300903,2024,3,Municipal,74.45,80.8,-6.35,false,5652646566336647405,2026-08-20 01:27:09,MUNICIPIO
2301208,2023,3,Municipal,87.25,,,,-7803858818949402509,2026-08-20 01:27:09,MUNICIPIO
2301208,2024,3,Municipal,90.87,87.25,3.62,true,3595510250494211922,2026-08-20 01:27:09,MUNICIPIO
2302008,2023,3,Municipal,67.84,,,,-2298348339495934168,2026-08-20 01:27:09,MUNICIPIO
2302008,2024,3,Municipal,63.94,67.84,-3.9,false,-2402821149289350355,2026-08-20 01:27:09,MUNICIPIO
2306553,2023,5,Pública,92.56,,,,-4094183010634560148,2026-08-20 01:27:09,MUNICIPIO
2306553,2024,5,Pública,92.49,92.56,-0.07,false,-831977687339874061,2026-08-20 01:27:09,MUNICIPIO
2306702,2023,3,Municipal,94.68,,,,3497031468703820638,2026-08-20 01:27:09,MUNICIPIO
2306702,2024,3,Municipal,93.66,94.68,-1.02,false,-5844193101768286358,2026-08-20 01:27:09,MUNICIPIO
2307700,2023,3,Municipal,79.76,,,,-1239778874196026136,2026-08-20 01:27:09,MUNICIPIO
2307700,2024,3,Municipal,81.66,79.76,1.9,true,-371079201021240260,2026-08-20 01:27:09,MUNICIPIO
2313104,2023,5,Pública,88.99,,,,-9173862413327794089,2026-08-20 01:27:09,MUNICIPIO
