id_indicador_municipio,id_municipio,nome_uf,nome_regiao,nu_rede,ds_rede,nu_serie,qt_alunos_avaliados,qt_alunos_alfabetizados,qt_alunos_alfabetizados_corte,pc_indicador_alfabetizacao,pc_indicador_alfabetizacao_corte,vl_proficiencia_media,vl_proficiencia_mediana,ts_insercao,nu_ano,sigla_uf
6249972461005700353,4303608,Rio Grande do Sul,Sul,2,Estadual,2,30,25,25,83.33,83.33,761.58,765.41,2026-08-20 01:27:09,2023,RS
2045208614343195478,4303673,Rio Grande do Sul,Sul,3,Municipal,2,20,18,18,90.0,90.0,767.17,765.53,2026-08-20 01:27:09,2023,RS
8647185355600438254,4304309,Rio Grande do Sul,Sul,2,Estadual,2,12,11,11,91.67,91.67,774.21,770.58,2026-08-20 01:27:09,2023,RS
-2184384576880777145,4304606,Rio Grande do Sul,Sul,2,Estadual,2,665,392,392,58.95,58.95,744.94,751.91,2026-08-20 01:27:09,2023,RS
8055112710459254695,4304689,Rio Grande do Sul,Sul,3,Municipal,2,111,75,75,67.57,67.57,747.87,753.99,2026-08-20 01:27:09,2023,RS
-3853758209136500765,4304804,Rio Grande do Sul,Sul,3,Municipal,2,221,150,150,67.87,67.87,753.26,759.31,2026-08-20 01:27:09,2023,RS
1256521278087939149,4305108,Rio Grande do Sul,Sul,3,Municipal,2,3220,2232,2232,69.32,69.32,752.46,758.86,2026-08-20 01:27:09,2023,RS
-6390328320418856685,4306452,Rio Grande do Sul,Sul,3,Municipal,2,33,30,30,90.91,90.91,772.37,775.53,2026-08-20 01:27:09,2023,RS
6801574850105621529,4306908,Rio Grande do Sul,Sul,3,Municipal,2,89,58,58,65.17,65.17,746.34,755.24,2026-08-20 01:27:09,2023,RS
-6718318970074078950,4306932,Rio Grande do Sul,Sul,3,Municipal,2,27,8,8,29.63,29.63,722.43,724.45,2026-08-20 01:27:09,2023,RS
5837817805695666529,4307005,Rio Grande do Sul,Sul,3,Municipal,2,368,229,229,62.23,62.23,745.36,753.34,2026-08-20 01:27:09,2023,RS
-1379315290966572269,4307609,Rio Grande do Sul,Sul,2,Estadual,2,11,9,9,81.82,81.82,746.67,754.2,2026-08-20 01:27:09,2023,RS
-8458941261173742298,4307609,Rio Grande do Sul,Sul,3,Municipal,2,480,316,316,65.83,65.83,750.49,754.95,2026-08-20 01:27:09,2023,RS
5621517336753301510,4308052,Rio Grande do Sul,Sul,3,Municipal,2,19,15,15,78.95,78.95,752.32,763.62,2026-08-20 01:27:09,2023,RS
5676856734947033532,4309126,Rio Grande do Sul,Sul,2,Estadual,2,16,14,14,87.5,87.5,773.9,772.6,2026-08-20 01:27:09,2023,RS
-6913763488544644998,4310652,Rio Grande do Sul,Sul,2,Estadual,2,13,7,7,53.85,53.85,736.74,753.47,2026-08-20 01:27:09,2023,RS
-2073105386673609229,4311627,Rio Grande do Sul,Sul,2,Estadual,2,13,10,10,76.92,76.92,756.82,758.25,2026-08-20 01:27:09,2023,RS
1244040774171687152,4311759,Rio Grande do Sul,Sul,3,Municipal,2,21,6,6,28.57,28.57,713.24,712.66,2026-08-20 01:27:09,2023,RS
-8171758810978004663,4312906,Rio Grande do Sul,Sul,2,Estadual,2,21,19,19,90.48,90.48,779.32,787.03,2026-08-20 01:27:09,2023,RS
-7814052365720089511,4313441,Rio Grande do Sul,Sul,3,Municipal,2,14,10,10,71.43,71.43,749.09,747.7,2026-08-20 01:27:09,2023,RS
-8472757926651687896,4315909,Rio Grande do Sul,Sul,2,Estadual,2,30,28,28,93.33,93.33,773.0,772.72,2026-08-20 01:27:09,2023,RS
3121358341529241021,4317400,Rio Grande do Sul,Sul,2,Estadual,2,153,95,95,62.09,62.09,746.45,751.88,2026-08-20 01:27:09,2023,RS
-8142416285559384939,4319406,Rio Grande do Sul,Sul,3,Municipal,2,119,92,92,77.31,77.31,760.48,761.15,2026-08-20 01:27:09,2023,RS
7625315083096263382,4320602,Rio Grande do Sul,Sul,3,Municipal,2,15,11,11,73.33,73.33,753.84,760.0,2026-08-20 01:27:09,2023,RS
8377258398397917267,4321626,Rio Grande do Sul,Sul,3,Municipal,2,24,21,21,87.5,87.5,767.95,769.2,2026-08-20 01:27:09,2023,RS
-7099726277724812650,4321667,Rio Grande do Sul,Sul,3,Municipal,2,72,63,63,87.5,87.5,764.98,765.91,2026-08-20 01:27:09,2023,RS
1982320944061288048,4322152,Rio Grande do Sul,Sul,2,Estadual,2,13,13,13,100.0,100.0,769.42,769.42,2026-08-20 01:27:09,2023,RS
-2959275696923233207,4322509,Rio Grande do Sul,Sul,2,Estadual,2,313,248,248,79.23,79.23,759.39,764.07,2026-08-20 01:27:09,2023,RS
-4363844576503024333,3100500,Minas Gerais,Sudeste,2,Estadual,2,22,17,17,77.27,77.27,780.28,772.22,2026-08-20 01:27:09,2024,MG
4985492639404503938,3107307,Minas Gerais,Sudeste,2,Estadual,2,417,337,337,80.82,80.82,770.32,775.0,2026-08-20 01:27:09,2024,MG
2675048914774473276,3109253,Minas Gerais,Sudeste,3,Municipal,2,20,17,17,85.0,85.0,773.01,776.59,2026-08-20 01:27:09,2024,MG
